stim,maze_name,pause_location,pause_time,avg_z_proportion_distracted
10_(10;2)_320,10_by_10_maze_2,(10;2),320,1.1376166438985047
10_(10;8)_320,10_by_10_maze_2,(10;8),320,0.7645960199044219
10_(6;1)_320,10_by_10_maze_2,(6;1),320,-0.04532803307962026
10_(7;1)_200,10_by_10_maze_2,(7;1),200,-0.8108125758796312
10_(7;1)_320,10_by_10_maze_2,(7;1),320,-0.666802064494662
10_(7;1)_500,10_by_10_maze_2,(7;1),500,-0.3496224619120799
15_(1;3)_160,15_by_15_maze_6,(1;3),160,-0.5971733279036369
15_(1;3)_320,15_by_15_maze_6,(1;3),320,-0.9356971649642153
15_(10;11)_320,15_by_15_maze_6,(10;11),320,-0.38715653634564295
15_(12;1)_160,15_by_15_maze_6,(12;1),160,-0.4234069939158377
15_(12;1)_320,15_by_15_maze_6,(12;1),320,-0.3540370046400326
15_(3;5)_320,15_by_15_maze_6,(3;5),320,0.8431170037921557
15_(5;14)_320,15_by_15_maze_6,(5;14),320,-0.18494864381580736
15_(5;15)_320,15_by_15_maze_6,(5;15),320,-0.2835985546194621
15_(6;7)_320,15_by_15_maze_6,(6;7),320,-0.6051330374653449
15_(7;15)_320,15_by_15_maze_6,(7;15),320,1.1912444204096875
15_(7;5)_320,15_by_15_maze_6,(7;5),320,1.056749481994416
15_(7;7)_320,15_by_15_maze_6,(7;7),320,-0.3504690976945631
7_(4;1)_200,7_by_7_maze_4,(4;1),200,0.20730854582428523
7_(5;1)_200,7_by_7_maze_4,(5;1),200,-0.8499441020547431
7_(5;1)_320,7_by_7_maze_4,(5;1),320,-0.33803782926553255
7_(6;3)_200,7_by_7_maze_4,(6;3),200,1.0935045329958315
7_(7;1)_200,7_by_7_maze_4,(7;1),200,0.888030779231509
