model_name, maze_name, pause_location, pause_time, mean_time_distracted, time_thinking, sd_time_distracted
Attempt5, 10_by_10_maze_2, Coordinate(10; 2), 320.0, 220.0815396722785, 99.9184603277215, 112.21856754386484
Attempt5, 10_by_10_maze_2, Coordinate(7; 1), 200.0, 61.71292652435532, 138.2870734756447, 52.491453787331245
Attempt5, 10_by_10_maze_2, Coordinate(7; 1), 320.0, 103.90613911631375, 216.09386088368626, 80.94570963929033
Attempt5, 10_by_10_maze_2, Coordinate(7; 1), 500.0, 194.391828368361, 305.60817163163904, 104.8359792636515
Attempt5, 10_by_10_maze_2, Coordinate(10; 8), 320.0, 242.07643261831714, 77.92356738168286, 118.76429722109931
Attempt5, 10_by_10_maze_2, Coordinate(6; 1), 320.0, 135.51170740307808, 184.48829259692192, 92.49528717449572
Attempt5, 7_by_7_maze_4, Coordinate(7; 1), 200.0, 129.51835854202116, 70.48164145797884, 84.41174042800576
Attempt5, 7_by_7_maze_4, Coordinate(5; 1), 200.0, 91.07221692438651, 108.92778307561349, 69.03193490564092
Attempt5, 7_by_7_maze_4, Coordinate(5; 1), 320.0, 142.73747324544166, 177.26252675455834, 96.83705578163263
Attempt5, 7_by_7_maze_4, Coordinate(6; 3), 200.0, 131.529408287774, 68.470591712226, 85.9000052158073
Attempt5, 7_by_7_maze_4, Coordinate(4; 1), 200.0, 99.3907374412372, 100.6092625587628, 74.362706044718
Attempt5, 15_by_15_maze_6, Coordinate(1; 3), 320.0, 97.17396871147075, 222.82603128852924, 55.04166537182774
Attempt5, 15_by_15_maze_6, Coordinate(3; 5), 320.0, 395.76627597704623, -75.76627597704623, 41.677818535451536
Attempt5, 15_by_15_maze_6, Coordinate(5; 14), 320.0, 72.96479578265539, 247.0352042173446, 4.263273467552153e-14
Attempt5, 15_by_15_maze_6, Coordinate(6; 7), 320.0, 58.97394163072417, 261.0260583692758, 53.5000749027013
Attempt5, 15_by_15_maze_6, Coordinate(10; 11), 320.0, 109.59241422916442, 210.40758577083557, 80.64070943973049
Attempt5, 15_by_15_maze_6, Coordinate(7; 15), 320.0, 251.23549216905462, 68.76450783094538, 109.05335031816847
Attempt5, 15_by_15_maze_6, Coordinate(7; 7), 320.0, 74.162014375044, 245.837985624956, 64.34717003020909
Attempt5, 15_by_15_maze_6, Coordinate(12; 1), 320.0, 98.6481077677184, 221.3518922322816, 84.02246128603869
Attempt5, 15_by_15_maze_6, Coordinate(1; 3), 160.0, 93.04673239276441, 66.95326760723559, 44.67570511711818
Attempt5, 15_by_15_maze_6, Coordinate(5; 15), 320.0, 71.65382795398146, 248.34617204601852, 35.14889611616345
Attempt5, 15_by_15_maze_6, Coordinate(7; 5), 320.0, 226.51472026555308, 93.48527973444692, 91.4336307850135
Attempt5, 15_by_15_maze_6, Coordinate(12; 1), 160.0, 74.37252027101496, 85.62747972898504, 63.93669183351767
