model_name,maze_name,pause_location,pause_time,mean_time_distracted,time_thinking,sd_time_distracted,proportion_distracted,scaled
Attempt5,10_by_10_maze_2,(10;2),320,220.0815396722785,99.9184603277215,112.21856754386484,0.6877548114758703,0.9774059096177441
Attempt5,10_by_10_maze_2,(7;1),200,61.71292652435532,138.2870734756447,52.491453787331245,0.3085646326217766,-0.7754026055373607
Attempt5,10_by_10_maze_2,(7;1),320,103.90613911631375,216.09386088368626,80.94570963929033,0.32470668473848047,-0.7007858881747437
Attempt5,10_by_10_maze_2,(7;1),500,194.391828368361,305.60817163163904,104.8359792636515,0.388783656736722,-0.40458976177904976
Attempt5,10_by_10_maze_2,(10;8),320,242.07643261831714,77.92356738168286,118.76429722109931,0.756488851932241,1.2951293584608115
Attempt5,10_by_10_maze_2,(6;1),320,135.51170740307808,184.48829259692192,92.49528717449572,0.42347408563461897,-0.244233079149847
Attempt5,7_by_7_maze_4,(7;1),200,129.51835854202116,70.48164145797884,84.41174042800576,0.6475917927101058,0.791752152709514
Attempt5,7_by_7_maze_4,(5;1),200,91.07221692438651,108.92778307561349,69.03193490564092,0.45536108462193253,-0.09683526542848556
Attempt5,7_by_7_maze_4,(5;1),320,142.73747324544166,177.26252675455834,96.83705578163263,0.4460546038920052,-0.139854519563283
Attempt5,7_by_7_maze_4,(6;3),200,131.529408287774,68.470591712226,85.9000052158073,0.65764704143887,0.8382325906972347
Attempt5,7_by_7_maze_4,(4;1),200,99.3907374412372,100.6092625587628,74.362706044718,0.49695368720618605,0.0954267498944219
Attempt5,15_by_15_maze_6,(1;3),320,97.17396871147075,222.82603128852924,55.04166537182774,0.3036686522233461,-0.7980342996343313
Attempt5,15_by_15_maze_6,(3;5),320,395.76627597704623,-75.76627597704623,41.677818535451536,1,2.4207608691666844
Attempt5,15_by_15_maze_6,(5;14),320,72.96479578265539,247.0352042173446,4.263273467552153e-14,0.22801498682079807,-1.147743749707684
Attempt5,15_by_15_maze_6,(6;7),320,58.97394163072417,261.0260583692758,53.5000749027013,0.18429356759601304,-1.3498462306935042
Attempt5,15_by_15_maze_6,(10;11),320,109.59241422916442,210.40758577083557,80.64070943973049,0.3424762944661388,-0.6186457775427981
Attempt5,15_by_15_maze_6,(7;15),320,251.23549216905462,68.76450783094538,109.05335031816847,0.7851109130282957,1.4274349803048796
Attempt5,15_by_15_maze_6,(7;7),320,74.162014375044,245.837985624956,64.34717003020909,0.2317562949220125,-1.1304495341310965
Attempt5,15_by_15_maze_6,(12;1),320,98.6481077677184,221.3518922322816,84.02246128603869,0.30827533677412,-0.7767398770529464
Attempt5,15_by_15_maze_6,(1;3),160,93.04673239276441,66.95326760723559,44.67570511711818,0.5815420774547776,0.4864370106534306
Attempt5,15_by_15_maze_6,(5;15),320,71.65382795398146,248.34617204601852,35.14889611616345,0.22391821235619208,-1.16668111034274
Attempt5,15_by_15_maze_6,(7;5),320,226.51472026555308,93.48527973444692,91.4336307850135,0.7078585008298534,1.0703353151001935
Attempt5,15_by_15_maze_6,(12;1),160,74.37252027101496,85.62747972898504,63.93669183351767,0.4648282516938435,-0.05307323786704195
